image,race
TestGeneration_checkpoint30\image_0.png,Black
TestGeneration_checkpoint30\image_1.png,Black
TestGeneration_checkpoint30\image_10.png,Black
TestGeneration_checkpoint30\image_11.png,Black
TestGeneration_checkpoint30\image_12.png,Black
TestGeneration_checkpoint30\image_13.png,Black
TestGeneration_checkpoint30\image_14.png,Black
TestGeneration_checkpoint30\image_15.png,Black
TestGeneration_checkpoint30\image_16.png,Black
TestGeneration_checkpoint30\image_17.png,Black
TestGeneration_checkpoint30\image_18.png,Black
TestGeneration_checkpoint30\image_19.png,Black
TestGeneration_checkpoint30\image_2.png,Black
TestGeneration_checkpoint30\image_20.png,Black
TestGeneration_checkpoint30\image_21.png,Black
TestGeneration_checkpoint30\image_22.png,Black
TestGeneration_checkpoint30\image_23.png,Black
TestGeneration_checkpoint30\image_24.png,Black
TestGeneration_checkpoint30\image_25.png,Black
TestGeneration_checkpoint30\image_26.png,Black
TestGeneration_checkpoint30\image_27.png,Black
TestGeneration_checkpoint30\image_28.png,Black
TestGeneration_checkpoint30\image_29.png,Black
TestGeneration_checkpoint30\image_3.png,Mixed
TestGeneration_checkpoint30\image_30.png,Black
TestGeneration_checkpoint30\image_31.png,Black
TestGeneration_checkpoint30\image_32.png,Black
TestGeneration_checkpoint30\image_33.png,Black
TestGeneration_checkpoint30\image_34.png,Black
TestGeneration_checkpoint30\image_35.png,Black
TestGeneration_checkpoint30\image_36.png,Black
TestGeneration_checkpoint30\image_37.png,Black
TestGeneration_checkpoint30\image_38.png,Black
TestGeneration_checkpoint30\image_39.png,Black
TestGeneration_checkpoint30\image_4.png,Black
TestGeneration_checkpoint30\image_40.png,Black
TestGeneration_checkpoint30\image_41.png,Black
TestGeneration_checkpoint30\image_42.png,Black
TestGeneration_checkpoint30\image_43.png,Black
TestGeneration_checkpoint30\image_44.png,Black
TestGeneration_checkpoint30\image_45.png,Black
TestGeneration_checkpoint30\image_46.png,Black
TestGeneration_checkpoint30\image_47.png,Black
TestGeneration_checkpoint30\image_48.png,Black
TestGeneration_checkpoint30\image_49.png,Black
TestGeneration_checkpoint30\image_5.png,Black
TestGeneration_checkpoint30\image_6.png,Black
TestGeneration_checkpoint30\image_7.png,Black
TestGeneration_checkpoint30\image_8.png,Black
TestGeneration_checkpoint30\image_9.png,Black
