image,race
TestGeneration_checkpoint10\image_0.png,Other
TestGeneration_checkpoint10\image_1.png,White
TestGeneration_checkpoint10\image_10.png,White
TestGeneration_checkpoint10\image_11.png,Asian
TestGeneration_checkpoint10\image_12.png,White
TestGeneration_checkpoint10\image_13.png,White
TestGeneration_checkpoint10\image_14.png,Black
TestGeneration_checkpoint10\image_15.png,Black
TestGeneration_checkpoint10\image_16.png,Black
TestGeneration_checkpoint10\image_17.png,Black
TestGeneration_checkpoint10\image_18.png,White
TestGeneration_checkpoint10\image_19.png,Other
TestGeneration_checkpoint10\image_2.png,White
TestGeneration_checkpoint10\image_20.png,White
TestGeneration_checkpoint10\image_21.png,Black
TestGeneration_checkpoint10\image_22.png,White
TestGeneration_checkpoint10\image_23.png,White
TestGeneration_checkpoint10\image_24.png,White
TestGeneration_checkpoint10\image_25.png,White
TestGeneration_checkpoint10\image_26.png,Latin
TestGeneration_checkpoint10\image_27.png,Latin
TestGeneration_checkpoint10\image_28.png,Black
TestGeneration_checkpoint10\image_29.png,Latin
TestGeneration_checkpoint10\image_3.png,Latin
TestGeneration_checkpoint10\image_30.png,Black
TestGeneration_checkpoint10\image_31.png,White
TestGeneration_checkpoint10\image_32.png,Latin
TestGeneration_checkpoint10\image_33.png,Black
TestGeneration_checkpoint10\image_34.png,White
TestGeneration_checkpoint10\image_35.png,White
TestGeneration_checkpoint10\image_36.png,Asian
TestGeneration_checkpoint10\image_37.png,Black
TestGeneration_checkpoint10\image_38.png,Indian
TestGeneration_checkpoint10\image_39.png,White
TestGeneration_checkpoint10\image_4.png,White
TestGeneration_checkpoint10\image_40.png,Asian
TestGeneration_checkpoint10\image_41.png,Black
TestGeneration_checkpoint10\image_42.png,Black
TestGeneration_checkpoint10\image_43.png,White
TestGeneration_checkpoint10\image_44.png,Asian
TestGeneration_checkpoint10\image_45.png,Latin
TestGeneration_checkpoint10\image_46.png,Black
TestGeneration_checkpoint10\image_47.png,Black
TestGeneration_checkpoint10\image_48.png,Indian
TestGeneration_checkpoint10\image_49.png,White
TestGeneration_checkpoint10\image_5.png,White
TestGeneration_checkpoint10\image_6.png,Asian
TestGeneration_checkpoint10\image_7.png,Indian
TestGeneration_checkpoint10\image_8.png,White
TestGeneration_checkpoint10\image_9.png,White
