image,race
TestGeneration_checkpoint0\image_0.png,Black
TestGeneration_checkpoint0\image_1.png,White
TestGeneration_checkpoint0\image_10.png,White
TestGeneration_checkpoint0\image_11.png,Latin
TestGeneration_checkpoint0\image_12.png,Asian
TestGeneration_checkpoint0\image_13.png,Black
TestGeneration_checkpoint0\image_14.png,Indian
TestGeneration_checkpoint0\image_15.png,Latina
TestGeneration_checkpoint0\image_16.png,Indian
TestGeneration_checkpoint0\image_17.png,White
TestGeneration_checkpoint0\image_18.png,Latin
TestGeneration_checkpoint0\image_19.png,White
TestGeneration_checkpoint0\image_2.png,White
TestGeneration_checkpoint0\image_20.png,White
TestGeneration_checkpoint0\image_21.png,Indian
TestGeneration_checkpoint0\image_22.png,Asian
TestGeneration_checkpoint0\image_23.png,Asian
TestGeneration_checkpoint0\image_24.png,Indian
TestGeneration_checkpoint0\image_25.png,White
TestGeneration_checkpoint0\image_26.png,White
TestGeneration_checkpoint0\image_27.png,White
TestGeneration_checkpoint0\image_28.png,White
TestGeneration_checkpoint0\image_29.png,Latin
TestGeneration_checkpoint0\image_3.png,Indian
TestGeneration_checkpoint0\image_30.png,White
TestGeneration_checkpoint0\image_31.png,White
TestGeneration_checkpoint0\image_32.png,Black
TestGeneration_checkpoint0\image_33.png,White
TestGeneration_checkpoint0\image_34.png,White
TestGeneration_checkpoint0\image_35.png,Black
TestGeneration_checkpoint0\image_36.png,Asian
TestGeneration_checkpoint0\image_37.png,Black
TestGeneration_checkpoint0\image_38.png,Black
TestGeneration_checkpoint0\image_39.png,Black
TestGeneration_checkpoint0\image_4.png,Indian
TestGeneration_checkpoint0\image_40.png,Indian
TestGeneration_checkpoint0\image_41.png,White
TestGeneration_checkpoint0\image_42.png,Black
TestGeneration_checkpoint0\image_43.png,White
TestGeneration_checkpoint0\image_44.png,Other
TestGeneration_checkpoint0\image_45.png,Black
TestGeneration_checkpoint0\image_46.png,White
TestGeneration_checkpoint0\image_47.png,White
TestGeneration_checkpoint0\image_48.png,White
TestGeneration_checkpoint0\image_49.png,Latin
TestGeneration_checkpoint0\image_5.png,White
TestGeneration_checkpoint0\image_6.png,White
TestGeneration_checkpoint0\image_7.png,White
TestGeneration_checkpoint0\image_8.png,White
TestGeneration_checkpoint0\image_9.png,Black
