image,race
TestGeneration_checkpoint15\image_0.png,Black
TestGeneration_checkpoint15\image_1.png,White
TestGeneration_checkpoint15\image_10.png,Black
TestGeneration_checkpoint15\image_11.png,Black
TestGeneration_checkpoint15\image_12.png,Black
TestGeneration_checkpoint15\image_13.png,White
TestGeneration_checkpoint15\image_14.png,Indian
TestGeneration_checkpoint15\image_15.png,Black
TestGeneration_checkpoint15\image_16.png,Black
TestGeneration_checkpoint15\image_17.png,Black
TestGeneration_checkpoint15\image_18.png,Black
TestGeneration_checkpoint15\image_19.png,Black
TestGeneration_checkpoint15\image_2.png,Latina
TestGeneration_checkpoint15\image_20.png,Black
TestGeneration_checkpoint15\image_21.png,Indian
TestGeneration_checkpoint15\image_22.png,Black
TestGeneration_checkpoint15\image_23.png,Black
TestGeneration_checkpoint15\image_24.png,White
TestGeneration_checkpoint15\image_25.png,Indian
TestGeneration_checkpoint15\image_26.png,Latin
TestGeneration_checkpoint15\image_27.png,White
TestGeneration_checkpoint15\image_28.png,Black
TestGeneration_checkpoint15\image_29.png,Indian
TestGeneration_checkpoint15\image_3.png,Indian
TestGeneration_checkpoint15\image_30.png,Black
TestGeneration_checkpoint15\image_31.png,Black
TestGeneration_checkpoint15\image_32.png,Asian
TestGeneration_checkpoint15\image_33.png,Black
TestGeneration_checkpoint15\image_34.png,Black
TestGeneration_checkpoint15\image_35.png,Indian
TestGeneration_checkpoint15\image_36.png,Black
TestGeneration_checkpoint15\image_37.png,Black
TestGeneration_checkpoint15\image_38.png,White
TestGeneration_checkpoint15\image_39.png,Black
TestGeneration_checkpoint15\image_4.png,Black
TestGeneration_checkpoint15\image_40.png,Indian
TestGeneration_checkpoint15\image_41.png,Black
TestGeneration_checkpoint15\image_42.png,White
TestGeneration_checkpoint15\image_43.png,Asian
TestGeneration_checkpoint15\image_44.png,Latin
TestGeneration_checkpoint15\image_45.png,Indian
TestGeneration_checkpoint15\image_46.png,Indian
TestGeneration_checkpoint15\image_47.png,Indian
TestGeneration_checkpoint15\image_48.png,White
TestGeneration_checkpoint15\image_49.png,Black
TestGeneration_checkpoint15\image_5.png,Asian
TestGeneration_checkpoint15\image_6.png,Indian
TestGeneration_checkpoint15\image_7.png,Indian
TestGeneration_checkpoint15\image_8.png,Black
TestGeneration_checkpoint15\image_9.png,White
