image,race
TestGeneration_checkpoint12\image_0.png,White
TestGeneration_checkpoint12\image_1.png,White
TestGeneration_checkpoint12\image_10.png,Black
TestGeneration_checkpoint12\image_11.png,White
TestGeneration_checkpoint12\image_12.png,White
TestGeneration_checkpoint12\image_13.png,Black
TestGeneration_checkpoint12\image_14.png,Black
TestGeneration_checkpoint12\image_15.png,Black
TestGeneration_checkpoint12\image_16.png,Black
TestGeneration_checkpoint12\image_17.png,White
TestGeneration_checkpoint12\image_18.png,Black
TestGeneration_checkpoint12\image_19.png,White
TestGeneration_checkpoint12\image_2.png,White
TestGeneration_checkpoint12\image_20.png,White
TestGeneration_checkpoint12\image_21.png,White
TestGeneration_checkpoint12\image_22.png,Black
TestGeneration_checkpoint12\image_23.png,Black
TestGeneration_checkpoint12\image_24.png,Asian
TestGeneration_checkpoint12\image_25.png,Asian
TestGeneration_checkpoint12\image_26.png,Indian
TestGeneration_checkpoint12\image_27.png,Black
TestGeneration_checkpoint12\image_28.png,White
TestGeneration_checkpoint12\image_29.png,Black
TestGeneration_checkpoint12\image_3.png,White
TestGeneration_checkpoint12\image_30.png,Asian
TestGeneration_checkpoint12\image_31.png,Black
TestGeneration_checkpoint12\image_32.png,White
TestGeneration_checkpoint12\image_33.png,Black
TestGeneration_checkpoint12\image_34.png,Indian
TestGeneration_checkpoint12\image_35.png,White
TestGeneration_checkpoint12\image_36.png,Black
TestGeneration_checkpoint12\image_37.png,Black
TestGeneration_checkpoint12\image_38.png,Indian
TestGeneration_checkpoint12\image_39.png,Asian
TestGeneration_checkpoint12\image_4.png,Asian
TestGeneration_checkpoint12\image_40.png,White
TestGeneration_checkpoint12\image_41.png,Asian
TestGeneration_checkpoint12\image_42.png,White
TestGeneration_checkpoint12\image_43.png,Black
TestGeneration_checkpoint12\image_44.png,Asian
TestGeneration_checkpoint12\image_45.png,Black
TestGeneration_checkpoint12\image_46.png,White
TestGeneration_checkpoint12\image_47.png,White
TestGeneration_checkpoint12\image_48.png,Black
TestGeneration_checkpoint12\image_49.png,Black
TestGeneration_checkpoint12\image_5.png,White
TestGeneration_checkpoint12\image_6.png,Indian
TestGeneration_checkpoint12\image_7.png,Black
TestGeneration_checkpoint12\image_8.png,Asian
TestGeneration_checkpoint12\image_9.png,Asian
